title,directedby,releasedate
Wings,William A. Wellman,"August 12, 1927, (New York City, premiere),January 15, 1928, (Los Angeles),January 5, 1929, (United States)"
Cimarron,Wesley Ruggles,"January 26, 1931, (Premiere-,),February 9, 1931, (,)"
Cavalcade,Frank Lloyd,
All Quiet on the Western Front,Lewis Milestone,
You Can't Take It with You,Frank Capra,"August 23, 1938, (int'l press preview),September 1, 1938, (New York City),September 29, 1938, (U.S.)"
Grand Hotel,Edmund Goulding,"April 12, 1932, (New York City, premiere),April 29, 1932, (Los Angeles),September 11, 1932, (US)"
Rebecca,Alfred Hitchcock,"March 21, 1940, (Miami),April 12, 1940, (United States)"
Gone with the Wind,Victor Fleming,
Mutiny on the Bounty,Frank Lloyd,
How Green Was My Valley,"John Ford, (1971 documentary), (2017 documentary)",
The Lost Weekend,Billy Wilder,
Casablanca,Michael Curtiz,"November 26, 1942, (,),January 23, 1943, (United States)"
Hamlet,Laurence Olivier,
All the King's Men,Robert Rossen,"November 8, 1949, (NYC),January 1950, (US)"
An American in Paris,Vincente Minnelli,"October 4, 1951, (New York),January 11, 1952, (USA)"
The Greatest Show on Earth,Cecil B. DeMille,"January 10, 1952, (New York City, premiere)"
Marty,Delbert Mann,
Gigi,Vincente Minnelli,
Around the World in 80 Days,Michael Anderson,"October 17, 1956, (New York City),December 22, 1956, (Los Angeles)"
Ben-Hur,William Wyler,
West Side Story,"Robert Wise,Jerome Robbins",
Tom Jones,Tony Richardson,
Lawrence of Arabia,David Lean,
My Fair Lady,George Cukor,
A Man for All Seasons,Fred Zinnemann,
The Sound of Music,Robert Wise,
In the Heat of the Night,Norman Jewison,
Oliver!,Carol Reed,
Patton,Franklin J. Schaffner,"February 5, 1970, (New York City-Premiere),April 2, 1970, (USA)"
The French Connection,William Friedkin,
One Flew Over the Cuckoo's Nest,Miloš Forman,
Amadeus,Miloš Forman,"September 6, 1984, (Los Angeles),September 19, 1984, (United States)"
Gandhi,Richard Attenborough,"30 November 1982, (,),3 December 1982, (United Kingdom)"
Out of Africa,Sydney Pollack,
Platoon,Oliver Stone,
The English Patient,Anthony Minghella,
The Silence of the Lambs,Jonathan Demme,"January 30, 1991, (New York City),February 14, 1991, (United States)"
Titanic,James Cameron,"November 1, 1997, (,),December 19, 1997, (United States)"
American Beauty,Sam Mendes,"September 8, 1999, (,),September 15, 1999, (United States)"
A Beautiful Mind,Ron Howard,"December 13, 2001, (, premiere),December 21, 2001, (United States)"
Gladiator,Ridley Scott,"May 1, 2000, (,),May 5, 2000, (United States),May 12, 2000, (United Kingdom)"
Chicago,Rob Marshall,
Crash,Paul Haggis,"September 10, 2004, (,),May 6, 2005, (United States)"
The Artist,Michel Hazanavicius,"15 May 2011, (,),12 October 2011, (France)"
Argo,Ben Affleck,"August 31, 2012, (,),October 12, 2012, (United States)"
12 Years a Slave,Steve McQueen,"August 30, 2013, (,),November 8, 2013, (United States),January 10, 2014, (United Kingdom)"
Birdman,Alejandro González Iñárritu,"August 27, 2014, (,),October 17, 2014, (United States)"
Spotlight,Tom McCarthy,"September 3, 2015, (,),November 6, 2015, (United States)"
Green Book,Peter Farrelly,"September 11, 2018, (,),November 16, 2018, (United States)"
Moonlight,Barry Jenkins,"September 2, 2016, (,),October 21, 2016, (United States)"
Parasite,Bong Joon-ho,"21 May 2019, (,),30 May 2019, (South Korea)"
CODA,Sian Heder,"January 28, 2021, (,),August 13, 2021, (United States)"
